GEOID,Type,Year,State,Cnty,CensusLvl,HH,HHAggInc,HHMeanInc,HHL50K,HH50100K,HHM100K,F,FAggInc,FMeanInc,FIncL50K,FInc50100K,FIncM100K,NF,NFAggInc,NFMeanInc,NFIncL50K,NFInc50100K,NFIncM100K,WHHAggInc,BHHAggInc,HSHHAggInc,HHAggEarn,HHAggNotEarn,HHRent,HHMedRent,OO,OOMedP,HVAgg,HVMean,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID
120570001011,ACS,2016,Florida,Hillsborough County,Block Group,1133,46332600,40894,733,325,75,348,23884800,68634,124,162,62,785,21534700,27433,609,163,13,25236900,19233300,2756100,39585500,6382600,1037,36.8,96,16.3,0,135000,Block Group 1,2852080,47559,28.0484773,-82.4131381,3183
120570001012,ACS,2016,Florida,Hillsborough County,Block Group,476,25495400,53562,308,91,77,292,18182900,62270,160,78,54,184,6863400,37301,148,13,23,16643300,2724500,3631500,22644000,3870200,217,51,259,16.7,36601300,141318,Block Group 2,483656,0,28.0453841,-82.4037667,3186
120570001021,ACS,2016,Florida,Hillsborough County,Block Group,486,15912300,32741,414,17,55,270,12908900,47811,198,17,55,216,3003400,13905,216,0,0,12158400,3753900,0,14413100,1150100,360,51,126,18.4,0,95900,Block Group 1,1909022,39968,28.0380322,-82.4212231,3193
120570001022,ACS,2016,Florida,Hillsborough County,Block Group,519,22762700,43859,389,54,76,351,14673700,41805,255,54,42,168,5701100,33935,168,0,0,14275000,5609400,6861800,16929800,5008500,252,51,267,24.6,33651000,126034,Block Group 2,487440,0,28.0397245,-82.4073213,3184
120570001023,ACS,2016,Florida,Hillsborough County,Block Group,449,12208300,27190,370,63,16,154,8916200,57897,75,63,16,295,3292100,11160,295,0,0,7218900,3411900,2984400,6829000,5370000,307,47.1,142,17.9,14314000,100803,Block Group 3,425480,17051,28.0416111,-82.4014576,3194
120570001024,ACS,2016,Florida,Hillsborough County,Block Group,854,20076300,23509,810,44,0,360,10963900,30455,329,31,0,494,8812200,17838,481,13,0,14143700,5391200,8129400,15891100,4133700,827,43.7,27,0,0,0,Block Group 4,540616,0,28.0350195,-82.4022903,3196
120570002011,ACS,2016,Florida,Hillsborough County,Block Group,828,14957100,18064,768,60,0,263,5872400,22329,230,33,0,565,8765300,15514,538,27,0,4769800,7711800,4054200,10005200,4836600,769,34.4,59,32.1,0,71600,Block Group 1,657400,6988,28.0515195,-82.4466455,3197
120570002012,ACS,2016,Florida,Hillsborough County,Block Group,386,12811300,33190,338,41,7,194,6763300,34862,146,41,7,192,4647700,24207,192,0,0,6117300,6694000,0,8592100,3917600,279,31.2,107,22.4,11951000,111692,Block Group 2,331263,0,28.0454091,-82.4469975,3039
120570002021,ACS,2016,Florida,Hillsborough County,Block Group,485,19954800,41144,349,136,0,324,14090500,43489,235,89,0,161,5776900,35881,114,47,0,9910400,8553800,7035200,14606800,6813300,172,44,313,24.4,29436300,94046,Block Group 1,981232,3986,28.0486173,-82.4385085,3198
120570002022,ACS,2016,Florida,Hillsborough County,Block Group,772,25321700,32800,598,154,20,487,16920800,34745,359,108,20,285,7367600,25851,257,28,0,10262300,12673300,5245000,19017100,6794500,554,37,218,19.2,13726000,62963,Block Group 2,657951,6969,28.0508571,-82.4294322,3185
