Contest,ElectionLvl,ElectionType,Grain,Year,Address,State,County,HHL50K,HH50100K,HHRent,HHMedRent,OOMedP,DEM,AsianPacIsl,Hispanic,Female,NpaReg,SqMiles,HVMean,DemReg,RepReg,HH,F,FMeanInc,FIncL50K,FInc50100K,NFMeanInc,RegVoters,REP,WRI,OVER,UNDER,under25,btwn2544,btwn4564,over65,Shape_Length,Shape_Area
U.S. Senate,Federal,General,Precinct,2018,1000 E Eskimo Ave,FL,Hillsborough,329,111,261,37,21,1038,12,353,1147,567,0.29,101855,1351,146,472,276,50745,175,77,32520,3161,178,2,2,27,394,774,634,267,0.194229525,0.002985438
U.S. Senate,Federal,General,Precinct,2018,10001 Cross Creek Blvd,FL,Hillsborough,211,240,235,21,20,2909,341,669,2611,1494,1.31,313252,1896,1697,840,653,128946,137,174,71265,7896,2100,11,0,31,697,1523,2156,736,0.194337871,0.002988487
U.S. Senate,Federal,General,Precinct,2018,10002 N 56th St,FL,Hillsborough,361,165,353,31,17,979,34,221,873,476,0.62,128064,848,221,607,326,62460,155,102,37738,2144,288,4,1,12,247,678,468,164,0.194239836,0.002985728
U.S. Senate,Federal,General,Precinct,2018,1006 W Cypress St,FL,Hillsborough,234,105,250,33,19,1742,39,225,1243,744,0.27,213821,1244,511,435,168,89813,77,41,46438,4138,647,12,0,34,465,1104,665,284,0.213939091,0.002877247
U.S. Senate,Federal,General,Precinct,2018,1009 N Pebble Beach Blvd,FL,Hillsborough,472,259,192,33,17,667,12,45,790,309,2.03,152653,435,631,848,451,69420,173,179,38946,2105,953,6,0,13,14,35,286,1044,0.193928516,0.002976963
U.S. Senate,Federal,General,Precinct,2018,101 Trinity Lakes Dr,FL,Hillsborough,476,253,163,32,18,423,9,35,629,233,1.75,147871,311,574,839,441,68917,169,177,36808,1739,801,5,0,6,48,145,327,613,0.193924352,0.002976846
U.S. Senate,Federal,General,Precinct,2018,1010 American Eagle Blvd,FL,Hillsborough,494,274,255,33,19,200,2,1,239,76,2.10,151120,98,222,901,514,69072,211,189,40043,626,269,0,0,9,0,0,5,392,0.193936486,0.002977188
U.S. Senate,Federal,General,Precinct,2018,1017 Kingsway Rd,FL,Hillsborough,221,247,143,23,18,1377,57,382,1621,839,0.54,146279,1092,1167,572,409,75209,122,194,45431,4599,1505,11,2,20,335,873,1221,689,0.19415702,0.002983397
U.S. Senate,Federal,General,Precinct,2018,10201 E US Highway 92,FL,Hillsborough,403,176,371,34,17,968,27,388,1160,704,1.95,97843,967,437,650,429,54902,255,120,37224,3154,535,11,1,11,323,813,738,253,0.194196618,0.002984512
U.S. Senate,Federal,General,Precinct,2018,10221 Big Bend Rd,FL,Hillsborough,634,962,623,28,21,2561,109,1041,2285,1416,5.31,181365,1810,1157,2234,1748,84741,459,733,62734,7545,1639,16,1,25,568,1887,1528,438,0.194000875,0.002979001
U.S. Senate,Federal,General,Precinct,2018,10308 Lithia Pinecrest Rd,FL,Hillsborough,266,296,154,30,15,80,2,13,292,119,43.03,180834,158,299,659,501,81694,184,227,41706,832,456,2,0,0,53,136,247,140,0.194057183,0.002980587
U.S. Senate,Federal,General,Precinct,2018,10401 N Florida Ave,FL,Hillsborough,338,110,269,34,20,218,3,154,266,186,0.29,114949,276,76,494,290,56402,174,78,31834,837,97,3,0,6,84,181,201,74,0.194243087,0.00298582
U.S. Senate,Federal,General,Precinct,2018,10405 Countryway Blvd,FL,Hillsborough,231,329,404,20,17,1636,115,227,1536,873,1.25,279291,833,1349,1113,802,127887,110,228,72157,4822,1796,4,0,21,328,1071,1307,377,0.1892654,0.002737407
U.S. Senate,Federal,General,Precinct,2018,106 Rolling Hills Blvd,FL,Hillsborough,272,248,151,30,19,256,7,102,327,151,0.64,156945,229,197,674,500,77685,156,202,41767,949,339,7,0,6,30,82,205,271,0.194141271,0.002982954
U.S. Senate,Federal,General,Precinct,2018,10619 Henderson Rd,FL,Hillsborough,335,241,267,30,22,1323,114,734,1330,752,0.67,153668,1021,686,678,445,67707,197,160,44210,3735,889,8,1,21,252,800,942,475,0.194243894,0.002985843
U.S. Senate,Federal,General,Precinct,2018,10650 McIntosh Rd,FL,Hillsborough,229,202,132,29,18,258,16,81,589,315,5.81,336461,293,569,568,392,106786,98,171,46537,1739,852,3,0,3,131,282,521,249,0.19425079,0.002986037
U.S. Senate,Federal,General,Precinct,2018,10701 Sheldon Rd,FL,Hillsborough,356,243,334,28,21,2347,268,684,2240,1399,0.77,171666,1382,1524,825,530,78907,184,155,51333,6908,2134,19,0,25,428,1590,1710,602,0.194245217,0.00298588
U.S. Senate,Federal,General,Precinct,2018,10715 Main St,FL,Hillsborough,313,134,181,32,19,321,6,77,487,277,4.45,143383,328,353,525,338,68886,170,101,32432,1457,510,3,0,10,113,239,373,243,0.194256485,0.002986197
U.S. Senate,Federal,General,Precinct,2018,10801 Desoto Rd,FL,Hillsborough,424,414,398,30,20,1378,59,540,1630,926,1.09,179950,1141,968,1078,753,78455,259,290,49726,4699,1259,8,2,22,322,1105,1162,467,0.19408261,0.002981303
U.S. Senate,Federal,General,Precinct,2018,10902 N Armenia Ave,FL,Hillsborough,295,137,234,30,19,1038,24,293,1077,519,0.40,182094,811,691,550,333,81203,141,95,42249,3063,911,9,0,17,196,551,809,483,0.194247294,0.002985938
U.S. Senate,Federal,General,Precinct,2018,10905 Memorial Hwy,FL,Hillsborough,286,191,250,25,20,2492,215,1760,2544,1653,0.69,150164,2042,1316,617,382,73005,148,125,51496,7730,1660,12,2,57,616,1631,2050,738,0.194908231,0.002934528
U.S. Senate,Federal,General,Precinct,2018,110 E Kirby St,FL,Hillsborough,293,112,227,38,21,676,18,124,495,269,0.27,128799,536,184,451,266,56374,157,75,36699,1443,249,2,2,11,106,377,358,163,0.194217951,0.002985112
U.S. Senate,Federal,General,Precinct,2018,1100 W Sligh Ave,FL,Hillsborough,282,113,220,37,20,1112,59,780,1139,695,0.25,139572,1028,533,448,262,59424,150,74,39507,3467,693,8,0,28,261,712,878,422,0.194210898,0.002984914
U.S. Senate,Federal,General,Precinct,2018,11001 N 15th St,FL,Hillsborough,361,98,304,34,20,1264,27,649,1298,640,0.36,80975,1473,284,481,270,42460,187,65,27563,3617,328,4,1,27,379,853,779,396,0.194249685,0.002986006
U.S. Senate,Federal,General,Precinct,2018,11020 Park Dr,FL,Hillsborough,425,399,297,32,19,1075,54,286,1313,708,1.29,172940,833,1048,1089,794,80058,258,305,49102,4001,1338,13,0,8,298,768,1080,462,0.194070534,0.002980963
U.S. Senate,Federal,General,Precinct,2018,1104 N Kingsway Rd,FL,Hillsborough,236,198,121,29,20,405,16,160,542,294,2.05,200173,410,311,552,399,82190,136,153,36725,1558,421,2,0,9,143,307,408,164,0.194209818,0.002984883
U.S. Senate,Federal,General,Precinct,2018,1107 Charlie Griffin Rd,FL,Hillsborough,354,207,246,31,20,687,28,176,1096,494,1.66,188819,492,1069,702,535,68536,234,175,39188,3073,1359,3,0,7,238,537,789,507,0.194182715,0.002984121
U.S. Senate,Federal,General,Precinct,2018,111 Alafia Church Rd,FL,Hillsborough,237,224,140,23,13,67,2,10,121,71,68.65,188842,49,118,564,360,85891,144,126,43910,378,194,0,0,2,22,56,92,73,0.193952683,0.002977644
U.S. Senate,Federal,General,Precinct,2018,11211 Countryway Blvd,FL,Hillsborough,238,353,404,21,17,1018,68,162,972,547,1.46,307925,529,873,1208,879,136713,114,242,73277,3047,1146,4,0,12,191,568,904,302,0.190396379,0.002793205
U.S. Senate,Federal,General,Precinct,2018,11211 Sheldon Rd,FL,Hillsborough,366,253,361,29,21,434,23,255,534,307,0.83,180671,393,219,865,554,81736,183,163,50623,1479,337,3,2,8,110,289,294,233,0.194251493,0.002986056
U.S. Senate,Federal,General,Precinct,2018,11349 Bloomingdale Ave,FL,Hillsborough,420,389,456,28,19,628,28,169,779,387,0.78,173160,577,560,1033,687,78680,249,256,50692,2218,698,4,0,4,147,443,607,333,0.194098329,0.002981745
