Contest,ElectionLvl,ElectionType,Grain,Year,PrecinctAddress,Zipcode,City,State,County,RegVoters,REP,DEM,WRI,OVER,UNDER,RegVoterFinal,RegVoterCngRate,RepRegRate,RepRegVoterParticipation,RepRegVoterFinalParticipation,RepRegVoterParticipationCng,RepRegVoterSpecificParticipation,DemRegRate,DemRegVoterParticipation,DemRegVoterFinalParticipation,DemRegVoterParticipationCng,DemRegVoterSpecificParticipation,TotalParticipationRate,TotalFinalParticipationRate,RegNpaRate,NativeAmerican,AsianPacIsl,AfricanAmerican,Hispanic,White,Other,Multi,Unk,Male,Female,GenderUnk,Active,Inactive,CPF,DemReg,ECO,GRE,IND,LPF,NpaReg,PSL,REF,RepReg,under25,btwn2544,btwn4564,over65
U.S. Senate,Federal,General,Precinct,2018,5309 US HWY 41 N,33572,Apollo Beach,FL,Hillsborough,6092,2360,1492,12,0,19,3759,1.62,0.42,0.39,0.63,0.24,1.49,0.29,0.24,0.40,0.15,1.37,0.63,1.02,0.28,12,78,324,318,2915,29,20,63,1801,1890,68,3493,266,0,1090,0,1,19,14,1052,1,2,1580,328,1092,1615,724
U.S. Senate,Federal,General,Precinct,2018,6414 Golf And Sea Blvd,33572,Apollo Beach,FL,Hillsborough,3646,1485,955,8,1,15,2273,1.60,0.44,0.41,0.65,0.25,1.50,0.29,0.26,0.42,0.16,1.46,0.67,1.07,0.27,15,17,44,172,1984,17,5,19,1035,1200,38,2156,117,0,656,0,0,7,6,611,0,2,991,123,400,768,982
U.S. Senate,Federal,General,Precinct,2018,664 Golf And Sea Blvd,33572,Apollo Beach,FL,Hillsborough,4422,2215,861,10,0,13,2879,1.54,0.55,0.50,0.77,0.27,1.39,0.20,0.19,0.30,0.10,1.49,0.70,1.07,0.24,10,64,53,134,2537,22,9,50,1434,1392,53,2777,102,1,576,0,2,7,10,694,0,0,1589,197,526,1378,778
U.S. Senate,Federal,General,Precinct,2018,1017 Kingsway Rd,33510,Brandon,FL,Hillsborough,4599,1505,1377,11,2,20,3118,1.47,0.37,0.33,0.48,0.16,1.29,0.35,0.30,0.44,0.14,1.26,0.63,0.92,0.27,9,57,335,382,2200,36,17,82,1432,1621,65,2981,137,3,1092,0,3,8,5,839,0,1,1167,335,873,1221,689
U.S. Senate,Federal,General,Precinct,2018,1221 Victoria St,33510,Brandon,FL,Hillsborough,3670,536,1210,9,0,15,2559,1.43,0.19,0.15,0.21,0.06,1.10,0.46,0.33,0.47,0.14,1.04,0.48,0.68,0.35,5,59,716,632,977,39,35,96,1056,1427,75,2027,532,0,1166,1,0,7,6,890,0,0,489,467,1144,747,201
U.S. Senate,Federal,General,Precinct,2018,200 Kingsway Rd,33510,Brandon,FL,Hillsborough,4172,1256,1261,10,0,19,2709,1.54,0.36,0.30,0.46,0.16,1.30,0.37,0.30,0.47,0.16,1.27,0.60,0.93,0.27,11,119,313,511,1615,42,18,80,1233,1391,85,2589,120,0,991,0,1,7,7,739,0,0,964,263,759,1105,582
U.S. Senate,Federal,General,Precinct,2018,203 N Moon Ave,33510,Brandon,FL,Hillsborough,2451,640,777,5,0,21,1661,1.48,0.30,0.26,0.39,0.12,1.30,0.42,0.32,0.47,0.15,1.12,0.58,0.85,0.28,6,41,229,336,952,24,20,53,724,898,39,1506,155,0,695,0,1,7,5,458,0,1,494,190,507,564,400
U.S. Senate,Federal,General,Precinct,2018,408 Limona Rd,33510,Brandon,FL,Hillsborough,3408,990,1114,11,0,14,2226,1.53,0.34,0.29,0.44,0.15,1.29,0.38,0.33,0.50,0.17,1.30,0.62,0.95,0.26,4,33,314,307,1482,25,14,47,1029,1143,54,2098,128,0,856,0,1,9,7,587,0,0,766,249,674,859,444
U.S. Senate,Federal,General,Precinct,2018,502 E Sadie St,33510,Brandon,FL,Hillsborough,1732,456,500,3,0,9,1214,1.43,0.30,0.26,0.38,0.11,1.24,0.37,0.29,0.41,0.12,1.11,0.55,0.79,0.32,5,19,176,308,655,9,8,34,507,664,43,1080,134,0,452,1,1,3,5,385,0,0,367,151,384,420,259
U.S. Senate,Federal,General,Precinct,2018,818 N Parsons Ave,33510,Brandon,FL,Hillsborough,3547,1242,931,10,0,23,2413,1.47,0.39,0.35,0.51,0.16,1.34,0.34,0.26,0.39,0.12,1.14,0.61,0.90,0.27,7,36,212,320,1745,23,10,60,1119,1225,69,2249,164,0,817,0,0,3,8,655,0,0,930,277,694,944,498
U.S. Senate,Federal,General,Precinct,2018,1310 John Moore Rd,33511,Brandon,FL,Hillsborough,2424,905,659,4,0,13,1641,1.48,0.43,0.37,0.55,0.18,1.29,0.34,0.27,0.40,0.13,1.18,0.65,0.95,0.22,7,43,157,210,1153,16,13,42,750,847,44,1563,78,0,558,0,0,5,6,369,0,0,703,159,423,652,407
U.S. Senate,Federal,General,Precinct,2018,2014 Providence Rd,33511,Brandon,FL,Hillsborough,3282,911,1068,5,0,11,2268,1.45,0.32,0.28,0.40,0.12,1.24,0.39,0.33,0.47,0.15,1.21,0.60,0.87,0.28,4,66,383,377,1340,23,15,60,1049,1158,61,2058,210,0,880,0,1,9,6,639,0,1,732,233,710,972,353
U.S. Senate,Federal,General,Precinct,2018,2102 Bell Shoals Rd,33511,Brandon,FL,Hillsborough,2899,1176,753,4,1,14,1964,1.48,0.46,0.41,0.60,0.19,1.31,0.31,0.26,0.38,0.12,1.22,0.67,0.98,0.22,6,55,110,196,1513,16,11,57,923,981,60,1898,66,0,617,0,1,3,5,439,0,2,897,177,478,785,524
U.S. Senate,Federal,General,Precinct,2018,2602 S Kings Ave,33511,Brandon,FL,Hillsborough,5341,1344,1755,13,0,28,3525,1.52,0.30,0.25,0.38,0.13,1.27,0.39,0.33,0.50,0.17,1.28,0.58,0.88,0.30,11,122,637,662,1898,61,38,96,1578,1861,86,3210,315,1,1369,0,2,12,3,1075,1,1,1061,408,1239,1294,584
U.S. Senate,Federal,General,Precinct,2018,3104 Bryan Rd,33511,Brandon,FL,Hillsborough,2297,891,649,4,0,10,1582,1.45,0.45,0.39,0.56,0.18,1.26,0.31,0.28,0.41,0.13,1.31,0.67,0.97,0.24,6,28,122,148,1214,20,8,36,730,817,35,1513,69,0,494,0,2,3,3,373,0,0,707,177,409,630,366
U.S. Senate,Federal,General,Precinct,2018,401 Pauls Dr,33511,Brandon,FL,Hillsborough,1861,386,661,4,0,8,1255,1.48,0.26,0.21,0.31,0.10,1.17,0.44,0.36,0.53,0.17,1.19,0.56,0.83,0.29,5,17,264,218,689,23,9,30,528,710,17,1081,174,0,555,0,1,4,2,362,0,0,331,133,443,439,240
U.S. Senate,Federal,General,Precinct,2018,710 E Bloomingdale Ave,33511,Brandon,FL,Hillsborough,4292,1503,1202,6,0,21,2905,1.48,0.43,0.35,0.52,0.17,1.21,0.30,0.28,0.41,0.13,1.37,0.63,0.93,0.27,9,57,293,284,2155,32,9,66,1303,1541,61,2728,177,0,875,0,0,6,6,779,0,1,1238,358,774,1205,568
